uid,user,url,starts,active_seconds,domain,category,ends,gap_seconds
17793,b1dcb5d717657d39,c6700e9beb05ae40,2013-06-09 21:39:14,2,c6700e9beb05ae40,28129a435df1ebe9,2013-06-09 21:39:16,0
462,b1dcb5d717657d39,306bf00500f76b05,2013-06-09 21:39:26,4,306bf00500f76b05,234f5b297d040799,2013-06-09 21:39:30,10
3597,b1dcb5d717657d39,713b5d165ae0d147,2013-06-09 21:39:30,24,218089872a5b56bd,5f879ac0731630c5,2013-06-09 21:39:54,0
3598,b1dcb5d717657d39,d10c676bc5092c5f,2013-06-09 21:39:54,351,218089872a5b56bd,5f879ac0731630c5,2013-06-09 21:45:45,0
3592,b1dcb5d717657d39,d10c676bc5092c5f,2013-06-09 21:58:25,180,218089872a5b56bd,5f879ac0731630c5,2013-06-09 22:01:25,760
3596,b1dcb5d717657d39,d10c676bc5092c5f,2013-06-09 22:04:55,236,218089872a5b56bd,5f879ac0731630c5,2013-06-09 22:08:51,210
3590,b1dcb5d717657d39,d10c676bc5092c5f,2013-06-09 22:10:23,252,218089872a5b56bd,5f879ac0731630c5,2013-06-09 22:14:35,92
3595,b1dcb5d717657d39,d10c676bc5092c5f,2013-06-09 22:15:51,391,218089872a5b56bd,5f879ac0731630c5,2013-06-09 22:22:22,76
3591,b1dcb5d717657d39,713b5d165ae0d147,2013-06-09 22:22:22,6,218089872a5b56bd,5f879ac0731630c5,2013-06-09 22:22:28,0
3594,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-09 22:22:28,195,218089872a5b56bd,5f879ac0731630c5,2013-06-09 22:25:43,0
3593,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-09 22:26:09,240,218089872a5b56bd,5f879ac0731630c5,2013-06-09 22:30:09,26
466,b1dcb5d717657d39,306bf00500f76b05,2013-06-10 22:05:49,6,306bf00500f76b05,234f5b297d040799,2013-06-10 22:05:55,84940
467,b1dcb5d717657d39,306bf00500f76b05,2013-06-10 22:05:55,26,306bf00500f76b05,234f5b297d040799,2013-06-10 22:06:21,0
465,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-10 22:06:21,162,306bf00500f76b05,234f5b297d040799,2013-06-10 22:09:03,0
464,b1dcb5d717657d39,a17905fd9d1704d5,2013-06-10 22:09:03,6,306bf00500f76b05,234f5b297d040799,2013-06-10 22:09:09,0
12342,b1dcb5d717657d39,55d70dfe9c967f66,2013-06-10 22:09:09,4,68e02eb7a02fb286,167b397db80f4b22,2013-06-10 22:09:13,0
3602,b1dcb5d717657d39,713b5d165ae0d147,2013-06-10 22:09:13,14,218089872a5b56bd,5f879ac0731630c5,2013-06-10 22:09:27,0
3607,b1dcb5d717657d39,d10c676bc5092c5f,2013-06-10 22:09:27,62,218089872a5b56bd,5f879ac0731630c5,2013-06-10 22:10:29,0
3600,b1dcb5d717657d39,713b5d165ae0d147,2013-06-10 22:10:29,6,218089872a5b56bd,5f879ac0731630c5,2013-06-10 22:10:35,0
3603,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-10 22:10:35,485,218089872a5b56bd,5f879ac0731630c5,2013-06-10 22:18:40,0
3606,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-10 22:29:44,180,218089872a5b56bd,5f879ac0731630c5,2013-06-10 22:32:44,664
3599,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-10 22:34:36,180,218089872a5b56bd,5f879ac0731630c5,2013-06-10 22:37:36,112
3601,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-10 22:37:54,184,218089872a5b56bd,5f879ac0731630c5,2013-06-10 22:40:58,18
3604,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-10 22:42:14,266,218089872a5b56bd,5f879ac0731630c5,2013-06-10 22:46:40,76
3605,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-10 22:47:38,182,218089872a5b56bd,5f879ac0731630c5,2013-06-10 22:50:40,58
468,b1dcb5d717657d39,306bf00500f76b05,2013-06-11 21:16:05,2,306bf00500f76b05,234f5b297d040799,2013-06-11 21:16:07,80725
470,b1dcb5d717657d39,306bf00500f76b05,2013-06-11 21:16:07,44,306bf00500f76b05,234f5b297d040799,2013-06-11 21:16:51,0
469,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-11 21:16:51,192,306bf00500f76b05,234f5b297d040799,2013-06-11 21:20:03,0
2042,b1dcb5d717657d39,464c72cc0bd35284,2013-06-11 21:20:03,48,464c72cc0bd35284,05b3511dd2bd543f,2013-06-11 21:20:51,0
2043,b1dcb5d717657d39,b90a0bd96e7c45c4,2013-06-11 21:20:51,32,464c72cc0bd35284,05b3511dd2bd543f,2013-06-11 21:21:23,0
2044,b1dcb5d717657d39,ca64a72fbdeed1d8,2013-06-11 21:21:23,20,464c72cc0bd35284,05b3511dd2bd543f,2013-06-11 21:21:43,0
2046,b1dcb5d717657d39,464c72cc0bd35284,2013-06-11 21:21:43,64,464c72cc0bd35284,05b3511dd2bd543f,2013-06-11 21:22:47,0
2045,b1dcb5d717657d39,102d79b460d5a043,2013-06-11 21:22:47,12,464c72cc0bd35284,05b3511dd2bd543f,2013-06-11 21:22:59,0
3616,b1dcb5d717657d39,713b5d165ae0d147,2013-06-11 21:23:01,18,218089872a5b56bd,5f879ac0731630c5,2013-06-11 21:23:19,2
3610,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-11 21:23:19,325,218089872a5b56bd,5f879ac0731630c5,2013-06-11 21:28:44,0
3615,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-11 21:30:48,254,218089872a5b56bd,5f879ac0731630c5,2013-06-11 21:35:02,124
3608,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-11 21:35:50,180,218089872a5b56bd,5f879ac0731630c5,2013-06-11 21:38:50,48
3609,b1dcb5d717657d39,4bcc0f73106fefa4,2013-06-11 21:42:02,365,218089872a5b56bd,5f879ac0731630c5,2013-06-11 21:48:07,192
3611,b1dcb5d717657d39,713b5d165ae0d147,2013-06-11 21:48:07,4,218089872a5b56bd,5f879ac0731630c5,2013-06-11 21:48:11,0
3613,b1dcb5d717657d39,a36a4c4690f70f10,2013-06-11 21:48:11,193,218089872a5b56bd,5f879ac0731630c5,2013-06-11 21:51:24,0
3614,b1dcb5d717657d39,a36a4c4690f70f10,2013-06-11 21:53:46,426,218089872a5b56bd,5f879ac0731630c5,2013-06-11 22:00:52,142
3612,b1dcb5d717657d39,a36a4c4690f70f10,2013-06-11 22:02:08,276,218089872a5b56bd,5f879ac0731630c5,2013-06-11 22:06:44,76
3619,b1dcb5d717657d39,a36a4c4690f70f10,2013-06-11 23:02:18,196,218089872a5b56bd,5f879ac0731630c5,2013-06-11 23:05:34,3334
3618,b1dcb5d717657d39,a36a4c4690f70f10,2013-06-11 23:09:20,198,218089872a5b56bd,5f879ac0731630c5,2013-06-11 23:12:38,226
3617,b1dcb5d717657d39,a36a4c4690f70f10,2013-06-11 23:24:44,180,218089872a5b56bd,5f879ac0731630c5,2013-06-11 23:27:44,726
3620,b1dcb5d717657d39,a36a4c4690f70f10,2013-06-11 23:30:10,180,218089872a5b56bd,5f879ac0731630c5,2013-06-11 23:33:10,146
323,b1dcb5d717657d39,306bf00500f76b05,2013-06-12 16:42:12,2,306bf00500f76b05,234f5b297d040799,2013-06-12 16:42:14,61742
326,b1dcb5d717657d39,306bf00500f76b05,2013-06-12 16:42:14,16,306bf00500f76b05,234f5b297d040799,2013-06-12 16:42:30,0
330,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:42:30,70,306bf00500f76b05,234f5b297d040799,2013-06-12 16:43:40,0
325,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:43:58,8,306bf00500f76b05,234f5b297d040799,2013-06-12 16:44:06,18
324,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:44:34,26,306bf00500f76b05,234f5b297d040799,2013-06-12 16:45:00,28
321,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:45:06,26,306bf00500f76b05,234f5b297d040799,2013-06-12 16:45:32,6
329,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:45:40,22,306bf00500f76b05,234f5b297d040799,2013-06-12 16:46:02,8
327,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:46:16,30,306bf00500f76b05,234f5b297d040799,2013-06-12 16:46:46,14
334,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:46:52,14,306bf00500f76b05,234f5b297d040799,2013-06-12 16:47:06,6
335,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:47:28,38,306bf00500f76b05,234f5b297d040799,2013-06-12 16:48:06,22
328,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:48:14,28,306bf00500f76b05,234f5b297d040799,2013-06-12 16:48:42,8
332,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:48:52,52,306bf00500f76b05,234f5b297d040799,2013-06-12 16:49:44,10
1658,b1dcb5d717657d39,464c72cc0bd35284,2013-06-12 16:49:54,34,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:50:28,10
1663,b1dcb5d717657d39,496461e1849f6548,2013-06-12 16:50:28,10,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:50:38,0
1652,b1dcb5d717657d39,b50cbe3356358ea8,2013-06-12 16:50:38,68,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:51:46,0
1666,b1dcb5d717657d39,464c72cc0bd35284,2013-06-12 16:51:46,6,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:51:52,0
1651,b1dcb5d717657d39,880cf4f45f933564,2013-06-12 16:51:52,10,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:52:02,0
1662,b1dcb5d717657d39,464c72cc0bd35284,2013-06-12 16:52:02,10,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:52:12,0
1660,b1dcb5d717657d39,0ba2dd528c434f7b,2013-06-12 16:52:12,2,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:52:14,0
1657,b1dcb5d717657d39,a95f3feda6fb2ca8,2013-06-12 16:52:14,14,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:52:28,0
1653,b1dcb5d717657d39,464c72cc0bd35284,2013-06-12 16:52:28,18,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:52:46,0
1650,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 16:52:46,6,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:52:52,0
333,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 16:52:52,4,306bf00500f76b05,234f5b297d040799,2013-06-12 16:52:56,0
1646,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 16:53:04,92,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:54:36,8
1648,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 16:54:44,24,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:55:08,8
1649,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 16:55:14,202,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 16:58:36,6
1647,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 16:58:52,140,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 17:01:12,16
1659,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 17:01:18,78,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 17:02:36,6
1664,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 17:02:42,30,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 17:03:12,6
331,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 17:03:12,16,306bf00500f76b05,234f5b297d040799,2013-06-12 17:03:28,0
1655,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 17:03:28,254,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 17:07:42,0
1661,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 17:07:54,12,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 17:08:06,12
1665,b1dcb5d717657d39,464c72cc0bd35284,2013-06-12 17:08:06,8,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 17:08:14,0
1656,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 17:08:14,306,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 17:13:20,0
1654,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 17:13:32,258,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 17:17:50,12
322,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 17:17:56,48,306bf00500f76b05,234f5b297d040799,2013-06-12 17:18:44,6
337,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 17:48:10,26,306bf00500f76b05,234f5b297d040799,2013-06-12 17:48:36,1766
1667,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 17:48:40,278,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 17:53:18,4
336,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 17:53:22,32,306bf00500f76b05,234f5b297d040799,2013-06-12 17:53:54,4
339,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 18:50:36,26,306bf00500f76b05,234f5b297d040799,2013-06-12 18:51:02,3402
1669,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 18:51:02,2,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 18:51:04,0
338,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 18:51:04,2,306bf00500f76b05,234f5b297d040799,2013-06-12 18:51:06,0
1670,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 18:51:10,840,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:05:10,4
1672,b1dcb5d717657d39,5cbc01c1a15d6f96,2013-06-12 19:05:10,18,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:05:28,0
16871,b1dcb5d717657d39,7d7cea9ebe19fdc1,2013-06-12 19:05:28,24,856cc20867f5f28c,234f5b297d040799,2013-06-12 19:05:52,0
16872,b1dcb5d717657d39,a74ce138d40f6f90,2013-06-12 19:05:52,6,856cc20867f5f28c,234f5b297d040799,2013-06-12 19:05:58,0
16870,b1dcb5d717657d39,07f9b128b2f9870a,2013-06-12 19:05:58,30,856cc20867f5f28c,234f5b297d040799,2013-06-12 19:06:28,0
1668,b1dcb5d717657d39,5cbc01c1a15d6f96,2013-06-12 19:06:28,248,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:10:36,0
1673,b1dcb5d717657d39,a95f3feda6fb2ca8,2013-06-12 19:10:36,22,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:10:58,0
1671,b1dcb5d717657d39,464c72cc0bd35284,2013-06-12 19:10:58,10,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:11:08,0
354,b1dcb5d717657d39,a17905fd9d1704d5,2013-06-12 19:34:50,12,306bf00500f76b05,234f5b297d040799,2013-06-12 19:35:02,1422
342,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 19:35:02,502,306bf00500f76b05,234f5b297d040799,2013-06-12 19:43:24,0
2882,b1dcb5d717657d39,80c93e2cf9bf6886,2013-06-12 19:43:52,2,8f155e77c8af923f,05175ca42d439154,2013-06-12 19:43:54,28
14813,b1dcb5d717657d39,76adcdead9c66b1f,2013-06-12 19:43:54,10,6bc8931168569035,539ab0ba840e7c3c,2013-06-12 19:44:04,0
14812,b1dcb5d717657d39,c0503d0fe995728c,2013-06-12 19:44:04,10,6bc8931168569035,539ab0ba840e7c3c,2013-06-12 19:44:14,0
358,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 19:44:20,32,306bf00500f76b05,234f5b297d040799,2013-06-12 19:44:52,6
349,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 19:44:56,38,306bf00500f76b05,234f5b297d040799,2013-06-12 19:45:34,4
353,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 19:45:38,168,306bf00500f76b05,234f5b297d040799,2013-06-12 19:48:26,4
1677,b1dcb5d717657d39,464c72cc0bd35284,2013-06-12 19:48:36,4,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:48:40,10
1675,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 19:48:40,14,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:48:54,0
1678,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 19:49:20,4,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:49:24,26
356,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 19:49:24,36,306bf00500f76b05,234f5b297d040799,2013-06-12 19:50:00,0
1683,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 19:50:00,218,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:53:38,0
341,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 19:53:38,4,306bf00500f76b05,234f5b297d040799,2013-06-12 19:53:42,0
1679,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 19:54:02,2,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 19:54:04,20
340,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-12 19:54:04,12,306bf00500f76b05,234f5b297d040799,2013-06-12 19:54:16,0
344,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 19:54:16,235,306bf00500f76b05,234f5b297d040799,2013-06-12 19:58:11,0
359,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:07:39,9,306bf00500f76b05,234f5b297d040799,2013-06-12 20:07:48,568
1674,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 20:07:48,160,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 20:10:28,0
350,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:10:28,190,306bf00500f76b05,234f5b297d040799,2013-06-12 20:13:38,0
1681,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 20:13:38,2,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 20:13:40,0
