user,uid,bin,seconds,share,domain,category
354471f893df6b8e,2686,2959,10,0.16666666666666666,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2686,2960,60,1.0,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2686,2961,60,1.0,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2686,2962,46,0.7666666666666667,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2706,2963,34,0.5666666666666667,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2695,2964,24,0.4,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2702,2965,60,1.0,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2702,2966,54,0.9,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2682,2967,28,0.4666666666666667,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2689,2968,22,0.36666666666666664,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2687,2969,26,0.43333333333333335,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2691,2970,28,0.4666666666666667,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2688,2971,20,0.3333333333333333,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2688,2972,60,1.0,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2688,2973,60,1.0,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2688,2974,60,1.0,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2688,2975,60,1.0,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2688,2976,7,0.11666666666666667,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,2697,2977,15,0.25,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,4118,2978,26,0.43333333333333335,975af2aeb582ca21,05175ca42d439154
354471f893df6b8e,4120,2979,60,1.0,975af2aeb582ca21,05175ca42d439154
354471f893df6b8e,4120,2980,60,1.0,975af2aeb582ca21,05175ca42d439154
354471f893df6b8e,4120,2981,60,1.0,975af2aeb582ca21,05175ca42d439154
354471f893df6b8e,4120,2982,27,0.45,975af2aeb582ca21,05175ca42d439154
354471f893df6b8e,4113,2984,36,0.6,975af2aeb582ca21,05175ca42d439154
354471f893df6b8e,16117,2985,26,0.43333333333333335,de005655d95fe208,234f5b297d040799
354471f893df6b8e,4115,2986,18,0.3,975af2aeb582ca21,05175ca42d439154
354471f893df6b8e,4579,2987,32,0.5333333333333333,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4579,2988,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4579,2989,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4579,2990,53,0.8833333333333333,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4580,2991,47,0.7833333333333333,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4580,2992,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
